feature,mean_importance
feat_104,-0.0021247626966203192
feat_115,-0.0014294887686247427
feat_44,-0.001030788456183296
feat_8,-0.0008750652452624407
feat_61,-0.0008189280711658808
feat_120,-0.0008004297904219193
feat_84,-0.0007978392476952311
feat_126,-0.0006850230315609496
feat_98,-0.0006830798108705238
feat_29,-0.0006462606779318758
feat_30,-0.0006257313273676957
feat_72,-0.000571717244203862
feat_85,-0.0005172288763030331
feat_12,-0.0004992144138770583
feat_118,-0.0004911209739332679
feat_79,-0.0004888110556600766
feat_76,-0.00041000228052652244
feat_90,-0.00040457696407256714
feat_121,-0.00036526467531872164
feat_95,-0.00035156702601206734
feat_124,-0.00034396864118619864
feat_86,-0.00029307160887457326
feat_80,-0.0002855298064493583
feat_117,-0.0002556417957669366
feat_1,-0.00023925542363885112
feat_35,-0.00023692427327695053
feat_18,-0.00020564446170350247
feat_97,-0.00020457536335269922
feat_37,-0.00019862497289790948
feat_100,-0.0001925176899549408
feat_82,-0.00017632272586209918
feat_111,-0.00014444820000052426
feat_39,-0.0001409935466225143
feat_34,-7.437809596397838e-05
feat_56,-7.027477967613827e-05
feat_83,-6.660942595726471e-05
feat_50,-3.6728584050016444e-05
feat_59,-1.5767939040967072e-05
feat_96,-1.0109097028632163e-05
feat_11,-4.848975791493793e-06
feat_71,-3.328785453104999e-06
feat_64,3.39717771837833e-05
feat_113,7.63478615303681e-05
feat_57,9.628496402442898e-05
feat_62,0.00011541551821563356
feat_46,0.00013593024520048848
feat_14,0.00013806767465773806
feat_26,0.00016858287481125167
feat_106,0.00020880556840408016
feat_74,0.0002441639348592428
feat_68,0.00025286890234981206
feat_67,0.0002658832178182857
feat_92,0.0002780914581686389
feat_93,0.00027892298708027675
feat_42,0.00043725156081630967
feat_94,0.00045930609661559707
feat_41,0.0004734201834229124
feat_24,0.0004975618257852422
feat_125,0.0005155541776224349
feat_87,0.0005294796901400778
feat_103,0.0006176594930694668
feat_43,0.0006438892424185161
feat_101,0.0006874103866113757
feat_70,0.0006917067522050901
feat_108,0.0007215193574498402
feat_66,0.000756896738454893
feat_112,0.0007605202141790279
feat_52,0.0007707975468409956
feat_21,0.000789978679963732
feat_89,0.0007905205041287777
feat_91,0.0008610757058058916
feat_49,0.0008920582769098795
feat_119,0.0009112299190950912
feat_88,0.0009378640308565167
feat_75,0.000965912330246832
feat_73,0.0010047050145720825
feat_51,0.0010540086289251515
feat_105,0.00110169681153236
feat_53,0.0011190064535195666
feat_32,0.0011324890769434548
feat_102,0.0011479142135899512
feat_15,0.0012189966503721506
feat_123,0.0012245055146473892
feat_47,0.0012649095552775603
feat_48,0.001339510805566002
feat_55,0.0013753516134737075
feat_107,0.0014194598226980437
feat_25,0.001454974761667205
feat_28,0.0014782021248602284
feat_33,0.001489245742585643
feat_31,0.0016584751079978589
feat_23,0.0017687359624390941
feat_110,0.0019574256223245266
feat_63,0.0020325118960637044
feat_78,0.0021126463108039673
feat_54,0.0022161978212965174
feat_20,0.002225315972047115
feat_22,0.0022511393277423906
feat_60,0.0022836627366901617
feat_10,0.0023609022786307498
feat_109,0.0023842134290791963
feat_99,0.0024118945259764325
feat_4,0.0024290602072685186
feat_45,0.0024632437522182915
feat_9,0.0025032082984416614
feat_3,0.002582544346736304
feat_116,0.0026708919360825868
feat_77,0.002823937002328747
feat_65,0.0029700058841702903
feat_127,0.0029729413595880106
feat_114,0.003087446841174146
feat_13,0.0030957983264354727
feat_36,0.0034380967458626176
feat_17,0.003444595350032986
feat_0,0.0036469819588150322
feat_27,0.0040505881427800984
feat_58,0.004061676630402822
feat_69,0.004187818332031634
feat_38,0.004631753801892536
feat_40,0.004886650258277348
feat_122,0.00503959998041219
feat_2,0.005422128430590844
feat_19,0.006117515291858222
feat_5,0.008481977767368875
feat_81,0.010242114129628544
feat_6,0.019884773037147398
feat_16,0.02017614214743162
feat_7,0.029171233569148747
