feature,mean_importance
feat_35,-0.0026076236397321708
feat_8,-0.002289996536559058
feat_113,-0.0016471484804527314
feat_4,-0.0016237262837250244
feat_39,-0.0013225891979299798
feat_32,-0.0013065135528815164
feat_121,-0.0013022768932560158
feat_46,-0.0011446339555158725
feat_93,-0.0009088177976520173
feat_84,-0.0007709106490891848
feat_80,-0.000757184304852454
feat_101,-0.0006142535719496411
feat_64,-0.0005719509959351221
feat_9,-0.0005474501724412218
feat_49,-0.0005024501211282839
feat_70,-0.00047150874559884757
feat_97,-0.00043461893107457075
feat_116,-0.0003615084328431273
feat_123,-0.0003586457738028459
feat_86,-0.0003459407137843762
feat_73,-0.0003422697937903063
feat_96,-0.0003318174801805851
feat_106,-0.0003229845443307289
feat_79,-0.0002727650469869225
feat_53,-0.00027154831026816596
feat_82,-0.00026349282008808483
feat_83,-0.00016281915905365097
feat_89,-0.00010850122159633546
feat_85,-9.720139278055485e-05
feat_24,-8.348055399354237e-05
feat_94,-1.776858599500386e-05
feat_118,1.0971556827032991e-05
feat_29,4.56914797995367e-05
feat_71,4.885662999816187e-05
feat_112,5.204782447065792e-05
feat_88,7.117900099615771e-05
feat_17,0.000195555245354484
feat_62,0.00022439775485372238
feat_109,0.0002667877456378198
feat_13,0.0003108690050700469
feat_47,0.0003268561851263563
feat_57,0.0003329031831650786
feat_14,0.00034835356129190307
feat_99,0.00035428553917253857
feat_111,0.0003567514213274725
feat_115,0.0003623260344989054
feat_104,0.00043500562308660393
feat_45,0.000439102433938654
feat_103,0.0004774904452281126
feat_26,0.0004918147388843774
feat_37,0.0005146441619829246
feat_52,0.000516067282281707
feat_30,0.0005708047598660837
feat_60,0.0006186574472656136
feat_61,0.0006399290405045388
feat_12,0.0006560770873214495
feat_67,0.0007253515771285191
feat_68,0.0007347598196306704
feat_110,0.0007437422210920585
feat_90,0.0007549934189454266
feat_100,0.0008566894944327163
feat_74,0.0009524278001682207
feat_48,0.0009800408892247647
feat_33,0.000986566544235412
feat_98,0.0010063768733022283
feat_91,0.0010309579165404647
feat_126,0.0011013892535978842
feat_122,0.0011434684632500858
feat_75,0.0011724563935589627
feat_117,0.0011767621515193615
feat_119,0.00122138938664198
feat_59,0.0012296743668775089
feat_41,0.0012708803661668044
feat_87,0.0012795084646978205
feat_127,0.0013199256721768472
feat_125,0.00140144944810352
feat_18,0.001424407604877964
feat_55,0.0014583638304374036
feat_42,0.0014649100009740846
feat_76,0.0015170762857134035
feat_124,0.0015458139831426632
feat_34,0.0015545490229052605
feat_54,0.0015826905142396486
feat_105,0.001587592124992998
feat_66,0.0016223188001373901
feat_43,0.0016628971138615833
feat_56,0.0017154486879212838
feat_11,0.0017306349755600748
feat_31,0.0017553351270901407
feat_92,0.0018127922645022165
feat_65,0.001837149035297192
feat_51,0.0018423769302584824
feat_108,0.001903572323614311
feat_21,0.0019599099544091113
feat_107,0.001980126933019366
feat_114,0.002095221173542927
feat_72,0.0022244112258222202
feat_40,0.002283872022645306
feat_78,0.0022845833991988807
feat_0,0.0022897530979570924
feat_1,0.0024708028017870866
feat_50,0.002781638814413667
feat_20,0.002787828613376808
feat_63,0.003196402133812004
feat_95,0.0032446814371752675
feat_77,0.003493719871679302
feat_3,0.0035223066522531267
feat_120,0.0035531113109978476
feat_44,0.0037873474547550855
feat_10,0.004233164592833072
feat_27,0.004374638246970974
feat_102,0.004584749035889857
feat_23,0.004758740640044312
feat_69,0.005097893364632311
feat_38,0.005279468126249109
feat_28,0.006232930420127425
feat_2,0.0062998554077884576
feat_25,0.0066422649267339874
feat_36,0.006703877507050681
feat_22,0.006835911919193261
feat_19,0.007143619993553974
feat_5,0.008096105825956212
feat_15,0.008959500696036992
feat_58,0.010196207129747514
feat_16,0.010836201286762303
feat_81,0.016590856347724746
feat_6,0.01926464740761291
feat_7,0.024170256642633992
