feature,mean_importance
feat_54,-0.00233230964671336
feat_18,-0.0013632670625427722
feat_32,-0.0012767079242575364
feat_103,-0.0012018613982470062
feat_13,-0.0008755588844890028
feat_39,-0.0008563035670785757
feat_100,-0.0007884693450296298
feat_115,-0.0006865297104048596
feat_33,-0.0006663107170308713
feat_46,-0.0006390035336652167
feat_30,-0.0006358039017097195
feat_101,-0.0006322130535041159
feat_34,-0.0004508399761785853
feat_72,-0.00039605303152900895
feat_123,-0.000364159396129593
feat_62,-0.000356246940214211
feat_61,-0.0003359677046888665
feat_26,-0.00025945563286204897
feat_76,-0.00023961825620806289
feat_84,-0.00023386368291795635
feat_87,-0.0002236246685292098
feat_119,-0.00020746939465250415
feat_105,-0.00018724563155407824
feat_67,-0.00018024570869621393
feat_68,-0.00011065223608675012
feat_70,-0.00010691723173514856
feat_59,-8.926223396559241e-05
feat_116,-7.163291110838799e-05
feat_66,-4.882026644248416e-05
feat_79,0.0
feat_55,1.793803415865991e-05
feat_64,6.843967349716707e-05
feat_36,8.837202165739022e-05
feat_93,9.686413249190284e-05
feat_88,0.00011001637704577405
feat_104,0.00011637254666476692
feat_21,0.00012503103171459528
feat_29,0.0001547579560266632
feat_94,0.00018322190723050192
feat_125,0.00019515942264791697
feat_47,0.00022098386255324786
feat_82,0.00023892439961032964
feat_73,0.0002454794029484564
feat_71,0.00028627595888504055
feat_23,0.00030740531880610875
feat_80,0.00032439051558059707
feat_57,0.0003357391130073273
feat_41,0.00035135971321567097
feat_91,0.00036201672634312844
feat_85,0.0003915907516788053
feat_53,0.0004192946904536976
feat_44,0.00043347695963904533
feat_120,0.00044603965558551726
feat_121,0.00047895202156369445
feat_124,0.0005157332194039466
feat_111,0.0005933867655829817
feat_95,0.0006009244566689941
feat_12,0.000740327061742141
feat_90,0.0007779659851731458
feat_8,0.000807415214125129
feat_118,0.0008462683206879928
feat_98,0.0008597799803053308
feat_117,0.0008794028203892746
feat_102,0.0009173665925424013
feat_42,0.0009340567211460149
feat_75,0.0009351607254846738
feat_92,0.0009425372371111074
feat_126,0.0010056559322987324
feat_3,0.0010082384367801288
feat_52,0.0010526879524821898
feat_35,0.0011181366947154991
feat_96,0.0011824142000835813
feat_24,0.0011903669854558708
feat_108,0.0012261953265770397
feat_31,0.0013056698361611607
feat_56,0.0013586105731626663
feat_89,0.0014229399224037875
feat_99,0.0014998970692605695
feat_86,0.0015288580704027055
feat_11,0.001626978157527148
feat_49,0.0016332058934178662
feat_113,0.0016551709870359145
feat_1,0.001660399302440485
feat_43,0.0016693952020498727
feat_110,0.0016940953613948872
feat_112,0.0017676679438893173
feat_65,0.0017917161407078996
feat_77,0.001823202639977417
feat_20,0.0019192301810705636
feat_10,0.0020206532623414653
feat_37,0.0020935411530863535
feat_114,0.0021939154293784346
feat_106,0.002344030761487281
feat_27,0.002353231451930804
feat_97,0.0023628001223297
feat_127,0.0024581850778248927
feat_74,0.0025047375321670005
feat_9,0.002645934938385985
feat_14,0.0026731697511187757
feat_0,0.002696672758064511
feat_45,0.002728754976405634
feat_17,0.002773736452289599
feat_83,0.0032934779068619856
feat_4,0.0033036690705663617
feat_58,0.003330885937878869
feat_51,0.0034343284050326827
feat_109,0.003440364833306697
feat_48,0.003623025199341523
feat_28,0.003656315118281439
feat_22,0.0037063319392506068
feat_107,0.0037853973110404835
feat_50,0.003994232016170862
feat_25,0.004418711707785494
feat_60,0.0044627828445724434
feat_122,0.004932187617531958
feat_78,0.005498512579572856
feat_63,0.005780062280857168
feat_15,0.006320229777415509
feat_69,0.006696998982279778
feat_38,0.006744613125185306
feat_40,0.006878317603214645
feat_19,0.008434873673161314
feat_2,0.01169651932015654
feat_6,0.012543460438223474
feat_81,0.013983030652925521
feat_5,0.015179053823431854
feat_16,0.020887641989875784
feat_7,0.024974385533057107
