feature,mean_importance
feat_70,-0.002487616608181442
feat_71,-0.0016846854003662371
feat_13,-0.0014016305363897309
feat_44,-0.0013630174818078488
feat_116,-0.0013470064127721448
feat_46,-0.0013267615723126403
feat_41,-0.0011368121144954778
feat_11,-0.000967065870057704
feat_85,-0.0009065129337669564
feat_66,-0.0008234865332819696
feat_34,-0.0007918511489845237
feat_12,-0.0007507749465748504
feat_103,-0.00045378152149142534
feat_125,-0.00043151053734693525
feat_82,-0.0004238035952877306
feat_76,-0.0003797747254397743
feat_120,-0.00030240334782498656
feat_21,-0.00016613233193829569
feat_73,-0.00015990175386781935
feat_57,-0.00013500328867674938
feat_89,-0.0001248758848114706
feat_61,-0.00011045010208765582
feat_121,-9.720930656906824e-05
feat_65,-8.959586543717535e-05
feat_52,-6.649033475241151e-05
feat_68,-4.8999172706820636e-05
feat_117,-4.83705089706854e-05
feat_105,-3.0477709391019125e-05
feat_67,-7.2178513672360726e-06
feat_101,7.960973672445082e-05
feat_96,9.996399646259314e-05
feat_92,0.00011134866690645228
feat_18,0.0002903165585851353
feat_94,0.00035735693856751014
feat_112,0.00036012593466623334
feat_104,0.0003620971240084536
feat_74,0.00037659469360562525
feat_111,0.0004168556291801018
feat_56,0.0004596234871120375
feat_99,0.00047363553328025885
feat_126,0.0005242147793089513
feat_77,0.0005412305392685557
feat_127,0.0005468678129820548
feat_84,0.0005638433752643612
feat_72,0.0005699530367472949
feat_59,0.0005930877023822223
feat_113,0.0006599163959346788
feat_8,0.0006714910926007179
feat_118,0.0006889801646672078
feat_106,0.0007540662715354252
feat_87,0.000766563137413101
feat_88,0.0008317964657837517
feat_26,0.000837978948570095
feat_29,0.0008702586731532235
feat_62,0.0008808737940726008
feat_93,0.0009311816773699411
feat_79,0.0009467771151731918
feat_97,0.0009724600213329105
feat_114,0.00099709756213886
feat_47,0.0010746557646930332
feat_75,0.0010893729022735776
feat_33,0.0011035672572303535
feat_123,0.001103858330152252
feat_100,0.001241602564276878
feat_83,0.0012580438227662194
feat_64,0.0013498591713311913
feat_30,0.0013630446865816159
feat_110,0.0013764520366444267
feat_31,0.0013861550190745532
feat_50,0.001388436217990807
feat_32,0.0014712389855227493
feat_35,0.001534079830947066
feat_115,0.0015605160042212463
feat_14,0.0015964681701831074
feat_43,0.0016601246485253407
feat_10,0.0016982863991364728
feat_86,0.0017254561528317503
feat_49,0.001744717176031263
feat_95,0.0017862831482990283
feat_98,0.0018088772870610947
feat_53,0.0018449522961961006
feat_45,0.0019054359613751791
feat_39,0.001912915651162761
feat_24,0.0019208398061090204
feat_108,0.0019944462618650904
feat_20,0.0019987515382378753
feat_119,0.002013590743166116
feat_80,0.002048999602462609
feat_54,0.00220457651148962
feat_48,0.0022383054684897543
feat_91,0.002250770670611568
feat_90,0.002288446988749149
feat_107,0.0024777562754575433
feat_55,0.0026387782516943624
feat_4,0.002675735474726504
feat_42,0.0027098141255736284
feat_109,0.003139715483295191
feat_23,0.003268411468760846
feat_0,0.0033842212192215504
feat_51,0.0034425075369936666
feat_22,0.003461829405494443
feat_122,0.0035149641274981437
feat_60,0.0035283633453910834
feat_3,0.0035617915875629123
feat_78,0.0035941392230935286
feat_69,0.003725948697479664
feat_63,0.0037801486521953365
feat_9,0.004028664677132965
feat_17,0.004205654226534872
feat_38,0.004673326306371406
feat_102,0.0049114633620781275
feat_124,0.0054995198112964385
feat_27,0.005983244179547431
feat_28,0.006070466294170895
feat_19,0.006704659346664377
feat_40,0.006772360815041978
feat_1,0.007055451239641108
feat_58,0.00754971142941121
feat_5,0.007709312871919583
feat_25,0.007739874028878879
feat_37,0.00808037864331601
feat_15,0.008584449992582344
feat_2,0.009024145219427604
feat_36,0.010309136938946528
feat_16,0.013216920848323844
feat_6,0.014846992869710186
feat_81,0.015868208306486498
feat_7,0.03367708914914078
