feature,mean_importance
feat_95,-0.0019915563698571946
feat_124,-0.0018149273753732763
feat_18,-0.0015026773040388353
feat_80,-0.0014925581487676975
feat_88,-0.0013508735491159162
feat_44,-0.0012309857781274136
feat_50,-0.0010916287681505877
feat_12,-0.0010858246972046848
feat_33,-0.0009860152360794626
feat_62,-0.00085985450227688
feat_46,-0.0007489456254820226
feat_39,-0.0007474685311550155
feat_108,-0.0006879703485174638
feat_113,-0.0006724756056021519
feat_57,-0.0006030634447760752
feat_14,-0.0005600658842793482
feat_21,-0.0004306822935088217
feat_103,-0.00039025900484634946
feat_104,-0.0003877471848867442
feat_76,-0.000383550179596992
feat_29,-0.00032400226258224587
feat_98,-0.0003136093186466127
feat_94,-0.00031294253424909437
feat_47,-0.00028927248747743215
feat_23,-0.00028526254122065444
feat_8,-0.0002677915766535977
feat_93,-0.0002162143704939945
feat_70,-0.0001803408220649727
feat_86,-0.00014479544147882883
feat_68,-0.00012091303802734821
feat_82,-9.437651063957109e-05
feat_45,-6.820708321209068e-05
feat_55,-3.475215641250973e-05
feat_100,-8.666400118650941e-06
feat_79,1.498933766235222e-05
feat_77,4.481975221806156e-05
feat_41,7.162527736928048e-05
feat_87,8.704151948260019e-05
feat_54,0.00011785986803580784
feat_116,0.00018478024556796148
feat_115,0.00019038974105292094
feat_32,0.00021371153872102867
feat_75,0.00022749222461029283
feat_85,0.00023173890594789802
feat_121,0.00026017001822071785
feat_84,0.00026648763043777277
feat_92,0.00029423542148228067
feat_123,0.0003661785419469377
feat_67,0.0003823833007257749
feat_61,0.0003928740340806147
feat_106,0.00039827726877879056
feat_26,0.00041366216769047617
feat_112,0.0004350156371087932
feat_72,0.00044111175523955384
feat_126,0.0004530691474539328
feat_63,0.0004561053828067818
feat_111,0.0005105399220319384
feat_90,0.0005416681653772181
feat_52,0.000542393685269027
feat_49,0.0005759495887317501
feat_96,0.0005878557428679931
feat_35,0.0006120693952414103
feat_105,0.0006361275442917202
feat_117,0.0006624836244903509
feat_78,0.0006650929703381214
feat_24,0.0006827465473485672
feat_120,0.0006891983574892179
feat_59,0.000712924153084904
feat_99,0.0007369003727492052
feat_125,0.0007535001386341555
feat_110,0.0007562007363261403
feat_118,0.0007568816563272573
feat_56,0.000798738438052693
feat_102,0.0008160677825191698
feat_71,0.0008735220286642198
feat_53,0.0008766506532844164
feat_65,0.0008777497059029082
feat_31,0.0008795366169312314
feat_97,0.0008822661900447671
feat_89,0.0008858084518944542
feat_20,0.0009097885551840879
feat_91,0.0009421938197369695
feat_114,0.0009538734335163834
feat_48,0.0009900581280877895
feat_64,0.0010116507825373322
feat_51,0.0010718682042705429
feat_101,0.0011544092613249512
feat_4,0.0012335644353289154
feat_127,0.0012932609466243417
feat_119,0.001346702996519822
feat_27,0.0013669499826064024
feat_74,0.0014153062519644654
feat_34,0.001483232001670398
feat_3,0.0015049664429132026
feat_13,0.0015970234868514233
feat_11,0.0015972763766932906
feat_73,0.0016243017608217115
feat_10,0.0018077626405240243
feat_66,0.0018828536687086617
feat_83,0.0019560795079868855
feat_30,0.0019932603108624657
feat_17,0.002110373361204432
feat_60,0.0021562879188069097
feat_25,0.0023036987450789637
feat_28,0.002444611149953424
feat_1,0.002459730175038799
feat_42,0.0024975281840096787
feat_107,0.0025237892482863344
feat_122,0.0026120551763053833
feat_22,0.0026367879903872902
feat_0,0.0026845360672038245
feat_43,0.002714189644143583
feat_40,0.003273522647639293
feat_69,0.0032930252838496267
feat_109,0.0034874660356154275
feat_37,0.0038866957926700697
feat_2,0.0038971642508353497
feat_58,0.003908545424484977
feat_9,0.004535365213126874
feat_15,0.005782941781893669
feat_38,0.0060207362740840155
feat_36,0.00612943985779224
feat_19,0.007453941715817836
feat_81,0.008217454327550989
feat_5,0.009895980639382107
feat_16,0.014889839502562886
feat_6,0.015703300738840787
feat_7,0.030500878369721728
