feature,mean_importance
feat_24,-0.0029108880155571002
feat_119_sum_feat_13,-0.0019209994690176258
feat_29,-0.001499491845430434
feat_11,-0.0014120051030675818
feat_72,-0.0013080261566458917
feat_121,-0.001260685999462896
feat_67,-0.0012579365712944268
feat_39,-0.0011950358963407793
feat_113,-0.001149042621667129
feat_89,-0.0009307550934216869
feat_86,-0.0008406601529915569
feat_66,-0.0007914180044344743
feat_109,-0.000773460385085345
feat_98,-0.0007285180393870272
feat_32,-0.0006980370724918528
feat_61,-0.0006390888827670915
feat_81_multiply_feat_47,-0.0006285911026370217
feat_30,-0.0005394924043998994
feat_94_multiply_feat_17,-0.0004931852645027268
feat_79,-0.00048361675253187907
feat_78_diff_feat_80,-0.00045523354240806224
feat_57,-0.00045053570960866817
feat_105,-0.00042065208731183467
feat_41,-0.00040294125027826586
feat_0,-0.00033165742479139836
feat_62,-0.00023907326463654677
feat_82,-0.0002117577931343151
feat_116,-0.00020992916880691048
feat_88,-0.0001989775311283859
feat_4,-0.00012373128026066382
feat_115,-9.323887102192785e-05
feat_91,-6.477709756373962e-05
feat_50_diff_feat_78,-3.638110056352062e-05
feat_112,-2.432199105191213e-05
feat_21,9.639878532152758e-06
feat_96,1.8664351501351818e-05
feat_92,2.201730006152758e-05
feat_74,5.608488001038747e-05
feat_73,7.538468710692748e-05
feat_33_ratio_feat_88,0.0001267476803061385
feat_85,0.00012838201693423645
feat_118,0.00013402055383513468
feat_126,0.00014541837325097174
feat_46,0.00017052437379316832
feat_111,0.00022737641670049767
feat_55,0.00022949848093500869
feat_64,0.00023288640331893263
feat_34,0.00030657811264247494
feat_81_multiply_feat_38,0.0003272912103688297
feat_31,0.00034714502031436557
feat_93,0.00034925452634748666
feat_49,0.000350889383583719
feat_124,0.00037797378899648846
feat_1,0.00041241258068329677
feat_103,0.00042493474336808835
feat_84,0.00043094883221095337
feat_71,0.00044860887617999
feat_56,0.0004671976527103938
feat_127,0.000502207525636078
feat_13,0.0005130071596529451
feat_94,0.0005727752138587449
feat_104,0.0005858293724568808
feat_99,0.000619795661188749
feat_17,0.0006450301072424836
feat_53,0.0006648833611239358
feat_68,0.0006801855363611997
feat_14,0.0006993957380127869
feat_26_ratio_feat_31,0.0007331124715465043
feat_120_sum_feat_3,0.0007617166642344575
feat_125,0.0008319747000393507
feat_18,0.0008691480076475245
feat_59,0.0009360532692330503
feat_95,0.0009381875317738819
feat_80,0.0009659441919384948
feat_47,0.0010170197325691354
feat_70,0.001018707542312125
feat_76,0.0010403923258682113
feat_122,0.0010861655569839757
feat_2_ratio_feat_103,0.001137044358770023
feat_102,0.001144016818335891
feat_75,0.0012105032689281314
feat_87,0.0012242332611898776
feat_120,0.0012320142655288357
feat_50,0.0012341271975253587
feat_83,0.0012733365432103573
feat_54,0.0012972495568973398
feat_117,0.0014219549451510937
feat_101,0.001472656143523965
feat_97,0.0014738462796717755
feat_108,0.0015289254837667742
feat_100,0.0016088621036814965
feat_8,0.0016139993803518271
feat_23,0.001626091083015857
feat_9,0.0016412297113886476
feat_48,0.0016860157682217158
feat_35,0.001804063291916469
feat_43,0.0018124639550811672
feat_26,0.0018302811336629921
feat_106,0.0018751081237570189
feat_12,0.0020268495666870166
feat_77,0.002038827967121004
feat_3,0.0021070869121405434
feat_110_multiply_feat_28,0.0021557442537062156
feat_33,0.0021741299727666918
feat_123,0.0023741336769905973
feat_65,0.0024527267228506176
feat_90,0.0026872560082691565
feat_45,0.002775861798708301
feat_37,0.0028492518053630624
feat_42,0.002870307505674896
feat_52,0.002945127422473348
feat_47_sum_feat_3,0.0030566641556470263
feat_107,0.0030712798812174034
feat_114,0.003174279369898203
feat_119,0.003192439764105903
feat_44,0.0035120569409015532
feat_51,0.003536731664694126
feat_60,0.003602877959751538
feat_10,0.0036513247327933708
feat_78,0.0037244164788809986
feat_110,0.003966828910386822
feat_38,0.004219482803568586
feat_36,0.004309111385925757
feat_20,0.004342211041299837
feat_40,0.004342897861473194
feat_22,0.004667505525253968
feat_27,0.0049885769429618195
feat_2,0.0059136344339016265
feat_63,0.006104198653235282
feat_69,0.007231311521418915
feat_28,0.007534814725552908
feat_15,0.00943262700116354
feat_25,0.009573750069615073
feat_19,0.009844666478515163
feat_16,0.01072768092777292
feat_81,0.011204346824536925
feat_58,0.011262339418159462
feat_5,0.012653132805661892
feat_6,0.01752127264401655
feat_7,0.025461550380474728
