feature,mean_importance
feat_83,-0.002604474635894238
feat_21,-0.0020381812500605
feat_24,-0.0020247086477366504
feat_34,-0.001481000411715816
feat_84,-0.0014700379028566024
feat_97,-0.001178804068123407
feat_96,-0.0011725655277791125
feat_93,-0.0010773115815074564
feat_8,-0.0008478131310017511
feat_104,-0.0007899785893813238
feat_49,-0.0007653794465303232
feat_31,-0.0007193645748563959
feat_89,-0.0006691118218719261
feat_88,-0.000608352284901903
feat_101,-0.0005366866785617042
feat_76,-0.0004990214776533719
feat_108,-0.0004953683788647689
feat_90,-0.0004902045426649293
feat_61,-0.00042675881907743295
feat_71,-0.0003765737202920505
feat_57,-0.00035070013791556055
feat_47,-0.0003345090572442366
feat_125,-0.0002496449588843097
feat_87,-0.00019425714357679258
feat_70,-0.00016810962814495234
feat_92,-0.00010439787448890403
feat_105,-8.104412353553414e-05
feat_106,3.557734405887913e-05
feat_118,5.354538438868683e-05
feat_9,0.0001407005463321509
feat_95,0.00015804132314016782
feat_120,0.0001804401343961981
feat_111,0.00020416234174813752
feat_126,0.00023054544367782093
feat_94,0.0002358677444143531
feat_82,0.0003103216758639782
feat_52,0.00033274795258939613
feat_112,0.00037722388473229176
feat_41,0.00038371680871633894
feat_98,0.0004082393847810062
feat_80,0.00045456128059655486
feat_55,0.00046248035225717745
feat_85,0.00047207215446385396
feat_59,0.00048256583538770493
feat_86,0.0005155903588115018
feat_121,0.0005595107457073256
feat_62,0.0006307243966648723
feat_79,0.0006356163344719556
feat_100,0.0006626222499517942
feat_44,0.0007737503881303232
feat_26,0.0008091921966451477
feat_64,0.0008570391136747846
feat_113,0.0008582160712616637
feat_29,0.0008823888318470807
feat_115,0.0009660364379306507
feat_66,0.0010329733594546919
feat_99,0.00110446143390448
feat_74,0.0011479393349809186
feat_18,0.001202529432893318
feat_73,0.0012330482186408975
feat_67,0.0012566686566681806
feat_116,0.0012987251098834473
feat_14,0.001311766240172263
feat_72,0.0013535385901519924
feat_12,0.0013870393177430218
feat_48,0.0013872935013136355
feat_91,0.0013930160528871527
feat_68,0.0014086050866150446
feat_117,0.0014489371647493643
feat_30,0.001479301494765961
feat_123,0.0014922840823931472
feat_42,0.0015740699279719328
feat_32,0.0016295206306038423
feat_75,0.0016866607556100365
feat_20,0.001697057126121515
feat_65,0.0018071219916610203
feat_114,0.001861440765720057
feat_39,0.00191779704179047
feat_46,0.0019410397953598224
feat_22,0.0020118173654045
feat_53,0.0020188471384791074
feat_119,0.0020472699524751504
feat_77,0.0021897287067890623
feat_103,0.0021938908093760423
feat_35,0.0022528532148295534
feat_124,0.0022997052673568996
feat_127,0.0023258331651473175
feat_56,0.0024924276459159954
feat_13,0.002508943297876276
feat_10,0.002513924389001643
feat_110,0.0026524686451035785
feat_4,0.0026760177052230103
feat_36,0.002685837148896275
feat_33,0.002763764275234215
feat_54,0.002863377254349775
feat_17,0.0031478895934166306
feat_102,0.0031922810786499723
feat_45,0.0032842903218482933
feat_78,0.003300097292609805
feat_109,0.0034058324779316475
feat_107,0.003430259017272008
feat_37,0.0036093032293256
feat_50,0.003924688047956537
feat_51,0.004244574062595397
feat_0,0.00424850351851711
feat_63,0.004402248830828204
feat_60,0.004727141073620933
feat_23,0.004804533625479279
feat_11,0.004900783229580807
feat_38,0.004996538698320752
feat_1,0.005080841417758397
feat_43,0.005211867321423291
feat_3,0.005378516656645705
feat_69,0.005550314508494014
feat_122,0.0061678983110398985
feat_58,0.00637891493919116
feat_5,0.0069305054381250345
feat_2,0.0070425168032752115
feat_40,0.008836837018313748
feat_15,0.008847268703673005
feat_25,0.009791183660531088
feat_28,0.01010287846701834
feat_19,0.010176825062074757
feat_27,0.011004558794942932
feat_16,0.014399320244035119
feat_81,0.015187140563163348
feat_6,0.019682906196361018
feat_7,0.032099956954251094
